ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
51506,ENSG00000143222,UFC1,ubiquitin-fold modifier conjugating enzyme 1,0.70260544,5.315536685,8.288590989,0.000477676,0.00516918,-0.283280783
8541,ENSG00000177380,PPFIA3,PTPRF interacting protein alpha 3,1.113994789,4.710403342,8.288194306,0.000477781,0.00516918,-0.211125262
9260,ENSG00000196923,PDLIM7,PDZ and LIM domain 7,0.879672716,7.160549658,8.287860839,0.000477869,0.00516918,-0.391267138
3633,ENSG00000204084,INPP5B,inositol polyphosphate-5-phosphatase B,0.53234351,4.368432169,8.286443998,0.000478244,0.005171264,-0.17779996
101927043,ENSG00000234690,EPCAM-DT,EPCAM divergent transcript,1.153190253,1.101442332,8.277552823,0.000480604,0.005192508,0.468163679
8666,ENSG00000130811,EIF3G,eukaryotic translation initiation factor 3 subunit G,1.299831345,7.22662996,8.277035674,0.000480742,0.005192508,-0.397159317
222068,ENSG00000158604,TMED4,transmembrane p24 trafficking protein 4,0.383195237,7.191272419,8.276977164,0.000480757,0.005192508,-0.401544339
7390,ENSG00000188690,UROS,uroporphyrinogen III synthase,0.68398689,5.211245599,8.275054392,0.00048127,0.005196066,-0.282570509
7009,ENSG00000139644,TMBIM6,transmembrane BAX inhibitor motif containing 6,-0.430578585,9.934065799,-8.274300816,0.000481471,0.00519626,-0.433803405
26270,ENSG00000116663,FBXO6,F-box protein 6,1.383279568,3.091302892,8.272492762,0.000481953,0.005199069,0.065918627
158158,ENSG00000165105,RASEF,RAS and EF-hand domain containing,-0.959883662,4.830716165,-8.271310093,0.000482269,0.005199069,-0.239756927
64981,ENSG00000130312,MRPL34,mitochondrial ribosomal protein L34,1.354804242,5.041466563,8.271269362,0.00048228,0.005199069,-0.255499055
9360,ENSG00000138398,PPIG,peptidylprolyl isomerase G,-1.010793462,5.325802101,-8.270003623,0.000482619,0.005200744,-0.291841226
6894,ENSG00000059588,TARBP1,TAR (HIV-1) RNA binding protein 1,-1.399416929,6.223207284,-8.268006806,0.000483153,0.005203653,-0.356768446
1657,ENSG00000172869,DMXL1,Dmx like 1,-1.306308398,5.715867841,-8.266662376,0.000483514,0.005203653,-0.323575952
81627,ENSG00000121486,TRMT1L,tRNA methyltransferase 1 like,-0.577403475,4.454481214,-8.266552711,0.000483543,0.005203653,-0.201792585
4780,ENSG00000116044,NFE2L2,NFE2 like bZIP transcription factor 2,-0.639571178,7.032872342,-8.266259256,0.000483622,0.005203653,-0.402670976
55333,ENSG00000213463,SYNJ2BP,synaptojanin 2 binding protein,-1.15957687,5.721744379,-8.263890682,0.000484258,0.005206706,-0.328080396
55197,ENSG00000141425,RPRD1A,regulation of nuclear pre-mRNA domain containing 1A,-0.993040612,5.666974676,-8.263836062,0.000484272,0.005206706,-0.325867654
55719,ENSG00000119906,SLF2,SMC5-SMC6 complex localization factor 2,-1.07203775,4.933524501,-8.262003721,0.000484765,0.005210029,-0.255409566
5918,ENSG00000118849,RARRES1,retinoic acid receptor responder 1,-1.399478537,3.586622304,-8.26086211,0.000485072,0.005211358,-0.03896152
1819,ENSG00000108591,DRG2,developmentally regulated GTP binding protein 2,0.553779597,5.786158671,8.258644133,0.000485669,0.005215803,-0.342327354
7005,ENSG00000007866,TEAD3,TEA domain transcription factor 3,0.40495985,6.060069484,8.255750246,0.00048645,0.005222214,-0.363437869
